Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
36113,2.576.418.527,1.811.570.788,71.105.609,37442,694.480.769,737.637,Kecimen
87429,4.089.260.276,2.738.879.417,742.565.182,89063,703.574.648,1.120.019,Kecimen
57785,3.144.309.771,236.183.035,660.138.051,58867,732.865.767,903.769,Kecimen
69846,3.684.507.096,2.439.751.621,749.358.072,72585,676.723.637,1.040.716,Kecimen
81456,4.043.163.937,2.588.920.062,768.107.985,83499,725.472.034,1.103.153,Kecimen
61959,3.395.850.181,2.346.979.363,722.728.935,64424,712.041.464,970.754,Kecimen
61730,3.761.885.565,2.106.115.221,82.858.974,63756,632.188.028,989.499,Kecimen
62835,4.211.693.384,1.911.698.622,891.051.301,64406,786.145.031,1.018.553,Kecimen
52651,3.408.169.568,204.432.884,800.126.045,56217,683.504.044,915.939,Kecimen
67093,3.531.098.719,2.430.010.336,725.545.687,68383,76.069.161,972.971,Kecimen
45160,2.705.553.766,2.201.186.723,581.451.809,46805,686.071.949,833.117,Kecimen
58989,3.626.681.085,2.095.097.184,81.625.629,60916,732.782.609,950.717,Kecimen
44007,3.593.755.027,1.617.023.657,893.051.844,48490,644.743.975,901.17,Kecimen
65062,344.309.794,2.426.836.332,709.365.401,65825,769.218.037,948.889,Kecimen
38724,2.910.010.917,1.707.762.667,809.690.001,40133,780.883.243,769.691,Kecimen
63514,3.687.863.065,2.212.409.483,800.062.704,65057,663.844.642,977.085,Kecimen
46403,3.063.041.431,1.966.171.927,766.786.821,48631,637.631.572,843.96,Kecimen
55746,2.803.131.243,2.546.003.304,418.381.972,56989,730.654.294,875.659,Kecimen
38153,2.650.402.262,1.848.022.541,716.817.189,39564,682.497.943,754.022,Kecimen
66094,3.231.877.163,2.610.119.111,589.707.296,67032,738.719.809,944.713,Kecimen
57303,3.300.249.642,2.219.197.863,740.157.695,58973,716.762.355,919.044,Kecimen
61289,3.763.751.871,2.087.278.098,832.134.559,63997,63.947.956,998.47,Kecimen
55114,3.171.723.252,2.227.534.529,711.870.752,56849,714.254.241,909.604,Kecimen
45567,2.785.021.961,2.167.666.389,627.855.296,49075,714.070.801,854.724,Kecimen
72215,3.804.147.762,2.440.280.812,767.140.615,74175,720.924.428,1.048.486,Kecimen
65495,3.653.190.043,2.305.255.523,775.762.211,67299,697.943.308,989.581,Kecimen
34977,2.677.377.387,1.708.372.462,769.972.704,37747,669.480.333,754.366,Kecimen
76407,3.734.424.261,264.474.304,706.005.483,79086,731.251.436,1.074.702,Kecimen
66998,3.385.866.405,2.573.438.202,649.860.993,69844,757.604.541,1006.22,Kecimen
57310,351.396.481,2.098.812.282,80.203.462,59225,699.832.704,940.413,Kecimen
79106,4.045.731.673,2.520.663.638,782.187.815,81999,72.851.683,1100.85,Kecimen
56837,3.683.727.265,1.987.746.557,841.920.242,59040,634.965.144,973.599,Kecimen
53497,3.525.027.525,1.949.811.366,833.092.526,54875,691.175.711,921.762,Kecimen
58591,3.564.633.214,212.119.231,803.676.777,60664,784.413.741,970.932,Kecimen
60313,3.396.034.558,2.277.259.242,741.851.492,62130,726.680.161,946.487,Kecimen
72483,3.344.176.092,2.826.808.891,534.302.927,74945,706.179.792,1.052.159,Kecimen
52836,3.404.047.822,2.043.355.331,799.795.765,55143,817.388.614,928.274,Kecimen
68119,3.853.917.044,2.307.152.076,801.009.823,70719,6.593.012,1.026.686,Kecimen
83490,4.218.829.433,2.543.101.831,797.893.855,86319,70.994.898,1.168.247,Kecimen
74612,4.308.651.894,2.292.867.182,846.647.455,79297,665.346.888,1.140.399,Kecimen
44081,3.285.871.474,1.733.469.657,849.522.441,46287,638.466.441,867.003,Kecimen
39724,2.716.656.922,189.484.632,716.592.623,41587,724.282.537,781.97,Kecimen
89051,4.185.556.402,2.749.231.996,754.031.829,92636,738.675.293,1196.03,Kecimen
57612,3.524.413.648,2.100.642.098,80.296.515,58810,647.718.841,934.684,Kecimen
65740,3.488.811.561,2.459.761.755,709.164.675,69233,740.815.867,1.036.517,Kecimen
69997,3.627.413.898,2.470.913.226,732.118.179,71994,722.542.219,1.010.809,Kecimen
75540,4.220.984.896,2.376.386.774,82.646.137,78465,705.085.125,1114.88,Kecimen
46397,3.107.243.688,1.929.038.367,783.953.309,48183,655.278.582,850.782,Kecimen
61967,3.647.840.178,2.185.661.729,800.624.837,63724,687.300.355,981.059,Kecimen
87149,4.446.108.356,2.532.065.911,82.199.021,91704,716.220.548,1.189.483,Kecimen
67798,4.184.081.341,207.825.511,867.919.298,69356,691.026.582,1.073.138,Kecimen
49604,3.106.056.284,2.046.545.873,752.240.304,51007,760.809.215,855.392,Kecimen
88407,4.127.569.409,2.752.848.499,74.510.983,90865,717.962.253,1.141.296,Kecimen
46601,2.773.532.801,2.162.720.505,626.064.816,48457,761.653.373,820.106,Kecimen
53121,3.509.683.575,1.958.674.449,82.978.902,56120,732.663.025,930.619,Kecimen
80101,377.616.572,2.726.713.449,691.804.118,82949,725.486.822,1.084.306,Kecimen
69781,3.647.445.188,2.487.961.897,731.248.797,71504,693.937.827,1.024.207,Kecimen
58460,2.907.535.562,2.583.843.539,458.544.698,60254,774.756.149,908.357,Kecimen
61792,4.005.028.283,1.977.035.112,869.667.343,64962,701.161.946,1.026.109,Kecimen
78084,3.952.097.616,2.543.765.834,765.320.366,80285,703.003.457,1.097.299,Kecimen
63402,3.724.843.101,2.240.094.059,798.953.455,66639,676.634.437,1.008.276,Kecimen
48809,3.322.648.929,1.903.513.649,81.963.199,51847,66.134.168,928.016,Kecimen
49039,2.854.020.871,2.208.199.013,633.533.709,50879,714.770.872,841.666,Kecimen
64669,3.645.828.035,2.288.007.673,778.561.165,67524,655.845.605,995.692,Kecimen
103377,4.606.704.313,2.879.931.727,780.495.845,105569,726.967.785,1.230.233,Kecimen
73972,3.592.726.917,2.633.333.902,680.269.105,75353,754.739.312,1.017.749,Kecimen
47602,2.964.930.361,2.062.251.984,718.479.434,49089,721.187.789,840.545,Kecimen
69151,3.416.460.576,2.583.928.669,654.204.824,70703,75.184.561,989.917,Kecimen
56518,3.191.919.279,2.307.099.964,691.063.598,58879,718.647.085,916.396,Kecimen
86314,3.904.129.792,2.822.148.203,690.992.119,87873,733.663.131,1.106.033,Kecimen
56477,334.588.138,2.191.856.198,755.550.137,58408,685.666.764,941.429,Kecimen
32097,2.644.163.841,1.579.904.179,801.864.322,33699,681.117.902,713.775,Kecimen
71284,3.562.592.463,2.564.883.397,694.027.404,72618,742.975.069,1.011.054,Kecimen
87937,3.658.369.921,3.079.116.981,54.000.213,89581,711.009.953,1.099.568,Kecimen
100835,4.197.533.709,3.069.548.981,682.083.382,102881,752.578.628,1.202.369,Kecimen
66752,3.705.036.219,2.315.511.993,78.065.406,69039,742.390.035,1.006.028,Kecimen
65999,3.262.987.214,2.644.148.773,585.951.613,67971,676.864.225,998.793,Kecimen
70977,3.620.635.747,2.563.830.246,70.609.608,73417,650.222.613,1033.87,Kecimen
38569,2.729.372.082,1.818.567.206,745.688.178,39909,716.030.818,757.295,Kecimen
53964,368.074.061,1.898.138.686,856.772.375,55662,603.678.181,943.599,Kecimen
79100,4.134.963.654,2.464.047.067,803.054.658,81839,655.148.423,1.113.607,Kecimen
83071,4.004.656.882,265.928.797,747.689.152,84531,718.458.106,1.112.784,Kecimen
31237,2.623.470.571,1.550.257.428,806.731.223,32564,613.910.617,718.847,Kecimen
26908,2.457.557.814,1.437.108.718,811.198.369,28607,693.487.281,678.815,Kecimen
66797,3.581.989.179,2.407.826.944,740.366.108,68732,697.662.517,1.006.375,Kecimen
76222,3.888.073.993,2.506.960.737,764.366.384,77958,73.744.195,1065.68,Kecimen
46810,2.978.913.729,2.015.349.368,736.407.405,48300,721.307.939,836.109,Kecimen
65123,3.823.576.865,2.188.887.484,819.924.857,66825,764.336.518,1.018.353,Kecimen
65091,3.924.932.707,2.168.275.716,833.555.048,69597,664.193.878,1.079.752,Kecimen
68400,3.635.065.315,2.495.814.954,727.040.805,72981,725.744.843,1.079.973,Kecimen
64056,3.936.167.673,209.630.823,846.382.218,65958,767.873.412,1.014.268,Kecimen
49821,3.190.820.631,2.022.364.946,773.491.106,51829,677.975.097,907.423,Kecimen
80353,394.340.189,2.645.790.871,74.151.054,83419,668.021.782,1.120.777,Kecimen
51539,3.307.474.868,2.009.579.393,794.252.979,53060,72.541.099,894.039,Kecimen
63827,393.251.665,2.091.461.847,846.846.105,66445,66.740.908,1.047.037,Kecimen
89345,4.355.508.797,2.620.614.475,798.738.633,91337,713.846.277,1.176.657,Kecimen
31275,264.687.187,1.563.955.455,806.767.261,33540,658.393.331,727.561,Kecimen
75431,4.336.712.228,2.229.994.167,857.662.466,78125,723.184.154,1.103.236,Kecimen
72718,397.902.945,2.355.598.942,805.935.469,74803,746.867.425,1.073.916,Kecimen
82886,4.248.227.093,253.171.548,803.024.243,85879,648.281.256,1.163.528,Kecimen
67852,3.531.242.534,2.473.352.308,713.731.082,69587,729.512.956,983.385,Kecimen
49336,3.384.814.606,1.930.052.021,821.499.608,52619,656.552.752,909.681,Kecimen
39368,2.966.559.478,1.712.081.645,816.654.393,41361,619.968.504,798.546,Kecimen
51304,3.500.425.817,189.765.438,840.300.429,52949,660.997.732,897.111,Kecimen
91764,4.337.681.595,2.702.860.947,782.132.713,93480,692.924.564,1.165.084,Kecimen
79252,3.988.445.645,2.541.729.295,770.638.009,80799,705.007.428,1.074.108,Kecimen
50530,3.289.180.154,1.982.839.196,797.864.438,52600,681.695.537,897.796,Kecimen
66063,3.540.975.248,2.385.102.532,739.121.421,67503,762.676.056,971.938,Kecimen
73311,3.918.675.067,2.396.017.637,791.294.159,74825,689.966.401,1046.52,Kecimen
82793,4.281.169.055,2.493.908.796,812.809.305,84950,742.458.211,1.130.673,Kecimen
104921,4.528.630.128,2.970.241.867,754.864.415,108211,726.297.937,1.254.861,Kecimen
59654,3.508.999.545,2.194.898.675,780.219.721,62384,713.052.833,979.727,Kecimen
76531,4.076.686.396,2.413.995.271,805.830.387,78857,731.227.487,1.068.375,Kecimen
57438,3.449.801.825,2.154.342.255,781.038.479,58924,693.394.176,935.816,Kecimen
55129,336.021.702,2.104.280.656,779.635.513,56855,750.401.546,910.837,Kecimen
37302,2.843.301.121,1.705.330.024,800.171.576,39280,721.173.923,761.131,Kecimen
58357,3.383.209.626,220.464.395,758.526.041,59383,738.172.941,915.379,Kecimen
33615,25.447.223,1.710.010.504,740.566.437,35376,788.048.575,719.935,Kecimen
47555,3.308.992.812,1.862.529.038,82.654.621,50165,680.708.836,873.837,Kecimen
71762,3.876.741.043,2.368.736.053,791.621.183,73593,701.677.879,1.038.741,Kecimen
84677,4.016.681.425,2.696.684.468,741.121.199,86777,751.028.843,1.118.999,Kecimen
86421,3.671.703.365,3.007.939.859,573.476.639,87929,748.622.661,1.080.007,Kecimen
90191,4.313.669.658,272.751.395,7.747.273,93719,625.024.255,1.179.374,Kecimen
34638,2.517.422.462,178.341.115,705.783.651,35824,749.399.624,713.94,Kecimen
39275,2.740.659.935,1.854.112.735,736.423.765,40747,712.562.139,772.501,Kecimen
41458,2.818.248.824,1.926.741.159,729.794.954,42792,682.773.386,782.362,Kecimen
85954,4.059.151.667,2.720.833.254,742.093.815,87690,714.817.957,1.104.717,Kecimen
56589,3.439.347.569,2.131.333.342,784.845.746,58274,659.853.078,931.451,Kecimen
39622,2.801.124.767,1.851.922.062,750.266.822,40539,733.007.733,766.531,Kecimen
48093,3.299.357.423,1.870.417.222,823.784.218,49367,745.108.064,858.386,Kecimen
67404,349.011.262,2.476.902.693,704.512.743,69607,745.026.085,997.276,Kecimen
57838,3.502.854.586,2.148.024.505,789.911.277,59449,674.039.717,939.149,Kecimen
58570,3.553.995.375,2.145.674.661,797.184.383,60494,657.557.931,962.708,Kecimen
60199,3.752.796.881,2.054.140.518,836.895.588,61711,736.289.139,971.185,Kecimen
74254,4.025.264.818,2.412.834.392,800.432.782,76702,726.470.473,1.080.034,Kecimen
63718,4.075.658.564,2.002.610.472,870.957.281,65950,7.229.673,1.023.064,Kecimen
28216,2.454.012.948,1.502.455.819,790.668.532,30316,622.292.797,683.004,Kecimen
79055,3.953.686.671,258.275.952,757.139.293,82562,71.950.598,1.114.488,Kecimen
86141,4.141.071.647,2.669.075.277,764.572.839,87883,718.740.092,1.146.164,Kecimen
82873,449.409.264,239.614.078,846.004.564,85648,700.769.491,1.148.363,Kecimen
98485,3.877.628.358,3.257.371.661,54.252.098,100682,729.864.528,1.193.908,Kecimen
53633,313.479.956,2.186.686.172,716.534.018,55147,728.432.118,882.669,Kecimen
63191,3.352.416.873,2.439.723.903,685.841.703,64898,704.603.994,977.095,Kecimen
58545,3.251.886.359,2.319.557.989,700.862.765,60738,700.500.144,966.758,Kecimen
68931,3.816.717.342,2.315.281.935,794.994.961,71336,679.310.549,1.067.692,Kecimen
67874,3.600.234.655,2.432.719.738,737.166.231,69889,678.319.442,1.035.277,Kecimen
61200,3.231.744.104,2.462.883.243,647.469.874,64553,707.449.022,997.264,Kecimen
87089,3.964.868.571,2.802.454.497,70.739.191,88754,742.231.578,1.154.562,Kecimen
59589,3.835.712.334,2.013.818.552,851.091.037,62974,684.081.829,1.043.187,Kecimen
50312,3.542.355.512,1.823.120.807,857.392.304,52070,623.352.166,961.439,Kecimen
41995,2.592.088.782,2.103.507.977,584.337.455,43443,729.700.613,801.526,Kecimen
137583,649.541.485,2.732.602.815,907.201.118,142650,731.637.667,1.590.354,Besni
117592,5.332.928.563,2.885.583.194,840.966.033,123587,730.067.672,1.432.006,Besni
95546,4.871.782.819,251.960.243,855.874.944,99166,722.782.014,1.276.807,Besni
96582,4.467.052.035,278.325.498,782.171.631,100113,706.597.603,1.216.979,Besni
61409,4.037.012.948,2.093.658.885,855.007.371,67286,597.392.869,1.083.477,Besni
154242,5.859.280.742,3.375.992.453,817.323.783,158371,7.216,1.530.315,Besni
134303,6.007.662.711,2.883.849.296,877.252.896,138133,74.243.622,1.497.515,Besni
112378,5.284.003.254,2.727.787.203,856.447.002,115602,614.705.496,1366.74,Besni
124579,4.399.605.034,3.710.262.137,537.416.298,128307,698.250.157,1.373.537,Besni
83107,5.073.808.994,2.331.538.498,8.881.652,93706,491.002.009,1.367.331,Besni
107178,5.087.478.956,2.704.624.159,84.698.069,110611,632.908.552,1.325.947,Besni
64391,4.495.559.014,1.871.223.778,909.255.569,68813,63.426.911,1.177.714,Besni
126781,6.594.426.082,2.495.447.658,925.634.934,132802,73.666.198,1552.54,Besni
45051,3.235.892.546,1.800.697.373,830.863.512,46532,830.632.225,836.625,Besni
119026,6.127.444.115,2.509.269.903,912.304.144,123463,615.745.148,1.486.769,Besni
67579,4.023.102.017,2.170.587.358,841.965.878,70809,70.311.297,1.051.553,Besni
97019,5.595.992.129,2.286.417.533,912.721.946,101539,573.452.572,1.383.647,Besni
184784,7.401.087.099,32.058.783,901.315.524,192699,645.353.264,1.791.568,Besni
168276,6.560.993.813,328.486.879,865.640.348,174282,681.538.723,1.685.283,Besni
195383,7.550.129.141,3.357.904.519,895.655.767,204472,728.769.116,1.893.414,Besni
65253,4.189.978.869,2.057.561.847,871.121.605,69700,66.625.485,1.075.404,Besni
120255,4.718.135.294,3.265.463.364,721.793.107,123486,723.886.976,1.322.814,Besni
108161,4.851.026.458,2.860.331.908,807.670.301,111765,707.906.277,1.305.144,Besni
157877,6.138.737.446,3.283.133.366,844.964.592,161901,641.322.804,1.604.103,Besni
83800,4.408.337.404,2.453.818.805,830.759.616,86346,657.162.126,1.170.091,Besni
177264,6.199.584.724,3.667.632.399,806.236.591,180994,683.219.376,1.652.694,Besni
127245,5.303.040.552,3.091.215.157,812.534.049,130649,679.096.353,1.423.997,Besni
108314,4.556.058.765,3.111.711.176,730.434.168,112497,686.944.665,1.306.577,Besni
128947,5.728.016.018,2.890.221.686,863.367.048,132108,604.408.842,1.446.923,Besni
189637,6.367.524.368,4.037.193.275,773.309.506,209580,613.785.469,1870.28,Besni
137508,6.041.144.233,2.920.960.638,875.338.198,141818,60.152.231,1529.79,Besni
75173,3.658.032.415,2.675.827.815,681.848.156,78359,67.995.405,1.087.034,Besni
115859,4.884.888.558,305.090.778,780.976.537,120546,742.643.053,1.351.422,Besni
92188,3.747.201.638,3.243.025.616,500.990.716,95920,747.599.585,1.190.813,Besni
153824,536.606.993,3.692.864.544,725.532.478,159063,739.083.641,1.582.146,Besni
85492,4.370.139.693,2.508.926.087,818.780.557,89018,723.343.769,1.182.575,Besni
106312,4.643.323.636,2.953.167.921,771.686.556,111089,729.683.725,1.306.455,Besni
210923,9.840.454.912,3.672.795.321,927.737.116,278217,507.352.075,2.697.753,Besni
89138,5.071.433.962,2.262.166.152,895.002.832,93549,738.386.349,1.262.578,Besni
83567,4.651.014.658,2.309.042.314,868.059.652,86859,609.222.133,1.199.017,Besni
171256,5.313.732.054,4.123.828.168,630.646.744,174277,70.191.488,1.559.214,Besni
77105,4.199.536.962,2.388.394.659,822.525.594,80497,668.994.838,1131.54,Besni
100443,4.575.698.723,2.836.112.797,784.743.459,104186,673.788.505,1.269.066,Besni
72606,424.472.024,223.232.633,850.542.335,76975,683.852.617,1.117.107,Besni
83555,4.575.464.724,2.350.998.706,857.893.642,86694,711.227.443,1.159.779,Besni
146268,5.880.092.142,3.216.079.813,83.716.934,150416,695.421.481,1.535.287,Besni
113608,5.592.667.826,264.028.685,881.546.115,118098,627.862.764,1.394.088,Besni
75058,4.247.637.094,2.288.458.259,842.459.099,78952,685.461.187,1.130.395,Besni
116406,612.665.318,2.518.328.267,911.615.194,125638,526.259.635,1.480.951,Besni
100319,4.807.789.636,2.676.688.956,830.686.786,104255,639.614.136,1.289.209,Besni
143386,4.692.765.081,3.973.101.898,532.159.522,146328,750.260.314,1.422.014,Besni
164782,6.603.641.751,322.620.924,872.535.895,169000,757.757.749,1.654.986,Besni
71639,4.004.139.594,2.316.201.421,815.716.625,76252,642.461.908,1.101.879,Besni
141220,5.756.823.646,3.166.212.427,835.169.296,144300,659.151.906,1.507.939,Besni
88290,5.144.361.539,2.214.448.377,902.609.051,92317,555.157.323,1.277.388,Besni
102569,5.153.952.494,2.591.942.281,864.342.392,106888,573.241.751,1.331.797,Besni
182160,9.972.919.406,2.718.723.954,96.212.444,221527,379.856.115,2303.69,Besni
208264,6.750.983.445,3.955.792.906,810.341.407,212813,771.748.314,1.755.167,Besni
133101,6.415.097.389,2.653.139.704,910.468.935,136793,582.496.357,1.544.712,Besni
169009,7.195.058.781,3.015.651.259,907.927.113,174718,716.926.627,1.781.378,Besni
81901,4.508.275.297,2.372.089.894,850.383.428,85000,583.107.877,1.192.014,Besni
80678,4.579.252.352,2.297.035.618,865.089.207,85201,607.359.562,1.226.244,Besni
101661,4.409.818.348,2.955.307.052,742.211.915,105429,713.290.393,1268.05,Besni
82207,4.510.060.488,2.351.597.735,853.305.321,84780,629.437.077,1.182.274,Besni
166275,6.023.077.749,3.562.362.867,806.340.027,168292,719.282.081,1.580.961,Besni
188651,6.210.126.864,3.903.076.128,777.808.102,192922,747.156.346,1.698.394,Besni
202118,684.602.958,3.797.192.817,832.079.617,209242,717.218.816,1827.9,Besni
97375,4.689.040.381,2.682.670.249,820.173.426,100169,694.716.941,1.244.252,Besni
64303,4.427.453.136,1.870.290.194,906.395.428,67199,686.235.379,1081.68,Besni
86715,4.404.743.232,2.543.360.345,816.451.523,89920,735.371.438,1.173.259,Besni
155702,6.553.989.662,3.046.121.493,885.429.547,160709,697.046.209,1.626.909,Besni
84295,4.588.440.074,238.289.021,854.577.011,88521,708.450.645,1.202.583,Besni
177206,6.996.182.638,3.281.121.355,883.204.868,181412,739.152.923,1.754.378,Besni
110897,5.187.876.139,2.752.605.054,847.632.242,115550,7.304.361,1.365.577,Besni
56903,360.815.292,204.037.706,824.754.645,59797,718.426.867,980.39,Besni
113029,5.585.161.561,2.652.842.028,879.996.398,116783,66.209.179,1.419.577,Besni
69579,3.985.966.833,2.245.785.157,82.616.862,71648,719.385.856,1.071.644,Besni
163442,594.759.221,3.514.256.873,806.766.406,167471,704.685.775,1.621.959,Besni
114289,5.806.008.301,2.617.636.982,892.599.892,120657,649.487.407,1.455.893,Besni
74652,4.249.806.728,2.316.042.653,838.451.647,79014,59.261.729,1.157.109,Besni
90559,4.735.758.459,2.469.199.675,853.315.591,95477,673.231.039,1.328.744,Besni
104352,5.623.359.079,239.402.593,904.850.809,107968,668.066.581,1390.73,Besni
82161,4.417.955.517,246.810.056,829.402.027,86909,630.243.012,1.222.158,Besni
131816,5.327.314.252,3.226.830.027,795.682.271,138992,722.192.393,1488.84,Besni
163082,6.961.490.457,3.022.224.471,900.847.975,167442,763.778.569,1.687.178,Besni
77012,4.252.194.272,2.394.695.614,826.343.087,81325,654.279.767,1131.53,Besni
81604,5.285.858.925,2.047.395.131,921.939.284,87172,491.460.095,1.299.386,Besni
82853,4.301.149.972,2.511.757.003,811.772.822,85292,746.436.873,1139.84,Besni
145693,5.911.801.444,3.214.311.911,839.272.464,151644,6.485.275,1.595.364,Besni
96443,5.412.000.742,2.325.480.394,902.976.663,101271,553.411.373,1.352.482,Besni
168620,7.307.609.597,2.955.004.623,914.593.881,172003,796.730.297,1.725.003,Besni
193032,6.611.487.714,3.764.321.931,822.087.757,197672,631.120.527,1.744.271,Besni
140897,5.880.709.185,3.080.257.871,851.847.299,146231,733.999.104,1.536.473,Besni
118988,4.833.400.048,3.152.484.647,758.021.814,122375,7.844.673,1.356.398,Besni
103666,4.563.827.046,2.939.224.346,765.003.405,107992,647.265.235,1.332.203,Besni
68231,3.946.465.339,228.161,815.937.489,71591,664.527.251,1.099.228,Besni
88928,395.724.998,3.002.270.016,6.514.683,93821,671.063.554,1239.54,Besni
117077,4.961.307.567,314.547.414,773.332.196,123305,70.883.156,1419.16,Besni
123056,6.181.418.151,2.569.501.109,909.510.252,128101,641.284.069,1.522.028,Besni
94455,4.968.950.128,2.452.439.068,869.715.856,97496,719.887.507,1.256.322,Besni
89311,4.292.790.857,2.708.593.166,77.581.274,94720,682.649.239,1.234.547,Besni
68982,4.007.368.809,2.239.076.574,829.342.993,73278,728.765.213,1105.79,Besni
204864,5.966.398.018,4.404.971.275,674.476.207,209457,751.009.036,1.726.246,Besni
83693,437.734.856,2.454.242.627,828.040.175,87230,702.859.542,1.177.858,Besni
75529,4.185.184.789,2.339.901.934,82.910.585,79168,658.669.736,1.143.294,Besni
121034,518.720.443,3.057.358.095,80.783.856,125665,70.666.472,1.418.304,Besni
105192,4.405.629.092,3.057.917.791,71.988.502,107313,736.901.835,1.244.054,Besni
77402,4.694.593.474,2.150.799.509,888.878.022,80680,621.328.517,1.162.004,Besni
87857,3.807.764.868,3.009.086.479,612.784.478,90968,728.499.171,1.144.344,Besni
139399,5.224.680.098,3.482.821.616,745.407.081,144034,69.363.089,1.471.508,Besni
178334,6.260.641.738,3.662.370.495,81.104.538,181715,789.451.783,1.630.704,Besni
144084,5.559.210.209,3.321.238.891,801.921.074,149076,729.421.056,1.506.255,Besni
84975,5.118.746.638,2.154.482.203,907.106.886,88730,629.612.341,1.246.361,Besni
118043,4.937.652.445,3.080.001.269,781.601.193,122903,675.596.941,1394.1,Besni
102769,5.156.080.701,2.611.366.518,862.261.419,109161,65.023.094,1.378.308,Besni
136960,5.592.958.675,3.133.098.688,828.366.668,139458,722.141.961,1.458.551,Besni
113206,5.489.710.465,2.642.584.778,876.517.212,116787,725.860.952,1.388.476,Besni
155057,6.106.779.718,3.255.076.812,846.098.403,159681,761.057.039,1.564.694,Besni
116715,5.710.488.404,2.788.373.978,872.681.468,127342,60.261.772,1.488.324,Besni
91146,4.983.917.995,241.896.779,874.317.368,97149,672.892.643,1.293.559,Besni
101223,4.965.334.606,2.768.662.029,830.110.932,109593,713.611.945,1.345.426,Besni
79492,4.225.673.288,2.431.162.956,817.920.329,82708,637.353.474,1.122.831,Besni
93234,4.529.265.064,2.687.630.536,804.913.476,97428,715.906.997,1.222.886,Besni
167279,6.900.719.941,3.119.956.922,89.195.687,171794,578.673.899,1.680.121,Besni
193558,7.694.251.488,3.216.858.345,90.840.748,197851,605.915.848,1.865.297,Besni
146175,5.929.085.046,3.190.201.112,842.906.798,149156,632.833.301,1.529.068,Besni
108076,5.160.732.298,270.743.408,851.335.233,112975,698.815.436,1.378.774,Besni
131811,5.735.417.738,2.954.230.955,857.138.757,135814,71.150.732,1.457.016,Besni
129038,540.814.829,3.068.177.642,823.493.997,134796,64.875.817,1.459.345,Besni
130868,6.131.726.145,2.731.819.147,895.270.971,134139,536.784.249,1.513.352,Besni
206720,7.134.725.493,3.736.425.439,851.905.369,210114,780.576.219,1.866.091,Besni
205497,6.327.276.067,4.141.883.255,755.968.807,209486,76.928.865,1.736.839,Besni
146420,5.980.726.814,3.143.906.394,850.686.743,149403,746.736.026,1.531.955,Besni
126014,5.231.863.795,30.911.683,806.792.408,130059,736.226.499,1.396.906,Besni
101103,4.841.659.011,269.145.887,83.125.185,105500,0.67,1.307.683,Besni
61444,3.716.938.257,2.131.798.061,819.180.326,64321,737.472.545,1.006.984,Besni
160605,6.306.173.412,3.307.711.388,851.398.389,167411,723.185.339,1.679.562,Besni
100649,4.333.668.701,3.004.577.801,720.639.035,103883,724.719.182,1.257.029,Besni
112808,5.425.047.797,2.672.018.778,870.293.382,116961,743.155.287,1390.4,Besni
105951,5.211.127.579,2.677.270.571,857.933.758,111368,733.559.965,1.377.248,Besni
177916,5.817.097.499,3.945.247.078,734.862.852,181352,737.206.739,1.647.505,Besni
109254,483.163.737,2.898.286.843,800.107.952,111624,740.102.967,1.293.225,Besni
128574,6.018.002.346,2.762.481.554,88.841.751,135975,67.400.216,1.508.934,Besni
124166,5.259.453.568,3.041.564.686,815.821.133,126960,728.998.849,1.388.684,Besni
133784,5.812.869.477,300.635.686,855.870.727,139806,679.589.556,1.502.661,Besni
80481,4.810.639.534,217.561.151,891.891.237,85153,714.973.571,1.219.105,Besni
63491,3.266.328.824,2.483.224.493,649.631.331,64892,734.356.566,950.297,Besni
109791,4.770.335.016,2.945.338.471,786.627.389,112766,744.780.007,1.290.239,Besni
89236,3.896.816.918,2.953.319.356,652.394.055,92014,696.992.892,1.144.036,Besni
